age,gender,income,purchase_frequency,purchase_amount,product_category,satisfaction_score,Cluster
28,Male,26777,2,10562,Electronics,3,1
27,Female,49369,1,20269,Food,3,0
28,Male,33724,0,12105,Books,4,3
30,Male,39742,0,15486,Books,4,0
37,Female,29977,1,10274,Health,5,3
30,Male,14996,0,4868,Clothing,6,2
35,Male,8397,2,2623,Clothing,6,2
33,Female,25532,1,9754,Books,5,1
29,Female,12771,0,5408,Clothing,3,2
23,Male,40637,2,15480,Beauty,6,0
28,Female,38961,2,10382,Clothing,6,0
28,Female,6156,2,1771,Books,6,2
30,Male,45604,1,15190,Electronics,5,0
36,Male,42666,1,16756,Food,5,0
40,Female,47180,1,19849,Food,7,0
37,Male,39336,1,12318,Electronics,5,0
29,Female,33422,2,11767,Food,5,3
22,Male,36568,0,12768,Electronics,4,3
28,Female,37258,2,10312,Food,5,3
30,Female,46086,1,16062,Electronics,2,0
34,Male,16479,2,5591,Electronics,5,1
34,Female,8834,1,3274,Electronics,5,2
33,Male,42906,0,12738,Health,5,0
24,Male,38719,2,13016,Home,5,3
34,Male,32828,1,12406,Health,5,3
28,Female,16060,1,6997,Electronics,5,2
31,Female,11390,0,3556,Clothing,5,2
30,Male,27954,2,6872,Food,5,3
32,Female,15613,2,6081,Food,5,2
30,Female,7208,1,2700,Electronics,7,2
23,Female,43082,2,16697,Electronics,6,0
33,Female,26733,2,9219,Food,5,1
32,Male,45673,1,12287,Clothing,5,0
29,Male,22722,1,6500,Beauty,5,1
31,Male,36436,2,13047,Books,7,3
31,Male,38301,2,14734,Electronics,5,3
31,Male,29424,1,9737,Food,6,3
37,Male,47514,2,13508,Clothing,6,0
29,Female,26094,1,10512,Clothing,6,1
31,Female,21403,1,8147,Electronics,6,1
35,Female,13889,2,3315,Books,3,2
35,Male,31351,0,10382,Electronics,6,3
35,Female,48246,2,15809,Home,6,0
27,Female,14403,1,4884,Food,7,2
39,Male,30049,2,12715,Books,5,3
30,Female,15992,0,5670,Health,6,2
38,Male,37902,2,12100,Electronics,5,3
24,Female,24085,2,9676,Clothing,4,1
30,Female,42608,2,12683,Food,5,0
36,Female,29018,2,8926,Health,5,3
27,Female,7479,1,2057,Electronics,6,2
27,Female,19355,0,7050,Clothing,5,1
26,Male,9202,2,3117,Electronics,5,2
25,Male,25097,2,8868,Electronics,4,1
28,Male,14495,2,5126,Electronics,5,2
31,Female,6823,2,2301,Electronics,7,2
21,Male,18994,1,6887,Food,6,1
31,Female,21562,1,8190,Electronics,4,1
36,Male,41540,2,13352,Books,6,0
39,Male,38428,0,10912,Books,6,3
36,Male,24307,2,9610,Electronics,6,1
33,Male,23687,0,9973,Electronics,6,1
22,Female,35555,2,9539,Books,4,3
27,Female,6914,2,2054,Electronics,6,2
28,Male,45122,2,15244,Clothing,6,0
33,Male,45809,2,14109,Beauty,6,0
30,Female,48613,2,16170,Beauty,5,0
24,Male,35447,0,11624,Books,6,3
38,Female,17904,1,5706,Books,5,1
34,Male,7568,2,2926,Electronics,6,2
31,Male,31778,1,12680,Books,4,3
35,Female,33869,1,11264,Books,5,3
24,Female,18743,2,5937,Food,4,1
33,Female,8375,2,2976,Electronics,5,2
28,Male,37689,1,15993,Health,6,3
33,Female,48920,1,18177,Clothing,5,0
30,Male,39950,2,13642,Clothing,7,0
33,Female,29959,1,10801,Books,6,3
36,Female,45091,1,16138,Clothing,4,0
30,Female,13294,1,4709,Clothing,5,2
35,Male,22058,1,7294,Electronics,4,1
25,Female,43068,2,14033,Clothing,2,0
27,Female,41925,2,13664,Health,5,0
37,Male,30434,2,10953,Books,4,3
32,Female,18769,2,8024,Electronics,5,1
21,Male,23464,2,7759,Beauty,4,1
24,Male,11074,1,2316,Beauty,5,2
29,Male,40798,2,15592,Beauty,5,0
34,Female,42056,2,14809,Food,4,0
30,Male,21814,2,7372,Food,4,1
33,Male,46318,1,16859,Food,6,0
34,Female,30009,2,10114,Electronics,4,3
37,Female,42990,2,10937,Books,5,0
30,Female,9703,0,3538,Food,5,2
30,Male,43047,1,14408,Food,5,0
22,Male,17407,2,6142,Food,5,1
30,Female,36111,0,14341,Clothing,4,3
27,Male,40424,2,15517,Electronics,4,0
26,Male,31521,1,9615,Health,6,3
29,Female,7938,2,2589,Electronics,5,2
35,Female,40922,0,13098,Beauty,7,0
21,Male,25727,1,8405,Clothing,5,1
28,Male,22111,2,7874,Books,5,1
31,Male,10488,2,3372,Electronics,4,2
26,Male,14492,2,4717,Beauty,5,2
31,Male,10673,2,3629,Home,3,2
32,Female,9773,2,3955,Clothing,5,2
30,Male,9643,0,4031,Health,7,2
19,Male,41235,2,12627,Clothing,7,0
41,Male,16838,0,5845,Electronics,4,1
29,Male,10105,1,4364,Electronics,4,2
33,Female,6607,0,2473,Electronics,2,2
31,Female,28025,0,12682,Home,6,3
35,Female,34048,0,12173,Electronics,5,3
34,Male,15875,2,5693,Food,5,2
29,Male,46373,1,17856,Books,4,0
32,Female,16339,1,5765,Electronics,3,1
26,Female,35023,2,10259,Books,5,3
34,Female,39534,2,15578,Books,5,0
28,Male,10439,0,4038,Clothing,5,2
41,Male,7753,2,1753,Clothing,5,2
23,Male,15592,2,4665,Books,4,2
28,Female,24408,2,7806,Clothing,4,1
34,Female,42544,1,11805,Electronics,5,0
32,Male,34992,1,10615,Food,4,3
27,Male,27084,0,7323,Food,4,1
26,Female,13891,1,5510,Books,6,2
31,Male,19763,2,6478,Electronics,4,1
30,Female,39032,1,13794,Clothing,6,0
22,Female,44147,2,17362,Electronics,4,0
30,Male,26175,0,7418,Health,5,1
31,Male,42723,1,13045,Electronics,5,0
31,Female,41087,0,13315,Books,5,0
25,Female,45806,1,13282,Clothing,6,0
32,Male,32593,2,12289,Beauty,5,3
36,Male,42008,2,13351,Food,5,0
32,Male,20779,1,6412,Books,6,1
25,Female,42990,1,15991,Health,6,0
28,Female,14253,2,4487,Beauty,4,2
32,Female,33193,2,10499,Electronics,5,3
27,Female,37881,1,16165,Books,4,3
20,Female,19329,1,6796,Books,3,1
34,Female,15937,1,5345,Books,4,2
26,Female,45551,1,17274,Books,5,0
27,Male,14171,2,5348,Food,5,2
37,Male,6122,2,1729,Electronics,5,2
27,Female,43270,1,15992,Health,5,0
34,Female,26165,1,7130,Electronics,3,1
24,Female,38172,1,12982,Food,5,3
28,Female,7815,1,2275,Electronics,5,2
30,Female,35361,1,12264,Beauty,4,3
25,Male,39766,1,12387,Books,5,0
27,Female,23136,1,6827,Books,5,1
30,Female,24467,0,8375,Electronics,4,1
33,Male,18026,0,5131,Books,4,1
23,Male,34568,2,12277,Electronics,5,3
28,Male,30664,2,10766,Clothing,3,3
33,Male,10066,1,3505,Books,6,2
28,Female,8887,2,3392,Books,5,2
31,Female,8212,2,3702,Clothing,6,2
32,Female,48613,2,15510,Books,5,0
31,Female,7150,0,2005,Clothing,6,2
33,Female,16469,2,6304,Clothing,6,1
29,Male,18486,1,5011,Beauty,5,1
28,Female,9181,2,3096,Electronics,6,2
18,Female,12567,0,4828,Electronics,6,2
30,Male,35623,1,7502,Clothing,6,3
32,Female,5807,0,2046,Food,7,2
32,Male,41814,2,13261,Food,4,0
28,Female,40940,1,13390,Clothing,6,0
38,Male,27281,0,11166,Clothing,5,1
31,Female,7976,2,2817,Books,4,2
31,Female,40944,0,17549,Electronics,5,0
36,Female,17648,2,7367,Electronics,4,1
27,Male,28829,1,11280,Electronics,5,3
28,Male,11997,1,5201,Clothing,5,2
41,Female,17059,1,4513,Books,6,1
30,Male,48146,2,20023,Clothing,5,0
37,Male,22707,2,6800,Health,5,1
24,Male,23412,1,9072,Books,2,1
29,Male,39989,2,14499,Electronics,5,0
32,Female,7143,2,2367,Home,5,2
31,Female,5185,1,2070,Clothing,6,2
26,Female,45405,1,17613,Health,3,0
30,Female,35998,0,15750,Electronics,5,3
25,Male,8342,2,3046,Electronics,5,2
33,Female,12359,2,4089,Electronics,4,2
35,Male,24804,2,6530,Electronics,3,1
20,Female,43965,1,13191,Clothing,6,0
36,Male,35285,2,7902,Books,4,3
24,Female,5018,0,1605,Food,4,2
32,Male,13089,0,4700,Electronics,7,2
33,Male,34802,1,15633,Electronics,5,3
29,Male,32764,1,10891,Clothing,4,3
27,Female,8527,1,2444,Electronics,4,2
31,Female,5552,1,1374,Health,4,2
32,Male,37693,2,12181,Books,6,3
34,Female,18791,2,5328,Health,4,1
21,Male,8415,1,3700,Clothing,6,2
23,Female,44727,0,13344,Electronics,6,0
36,Male,19522,2,6711,Clothing,6,1
35,Male,49646,2,13480,Electronics,4,0
32,Female,28412,2,12027,Home,6,3
33,Female,45999,0,15251,Health,4,0
34,Male,26730,1,8926,Books,5,1
18,Female,9396,2,3613,Health,4,2
35,Female,17224,2,5770,Books,5,1
28,Female,40052,2,14909,Food,4,0
31,Male,35172,2,15494,Electronics,7,3
29,Female,31064,0,12216,Home,2,3
34,Male,43417,0,14284,Books,6,0
28,Male,23128,2,8737,Clothing,6,1
32,Female,19011,1,6730,Books,6,1
28,Female,20164,2,6837,Electronics,6,1
25,Female,28925,1,8516,Electronics,5,3
35,Male,37465,2,12000,Health,5,3
33,Female,38164,2,13727,Food,3,3
38,Female,27495,1,11675,Food,6,1
30,Male,34636,2,13327,Electronics,5,3
35,Female,18654,2,6514,Home,6,1
39,Male,49993,0,19197,Health,7,0
29,Female,16203,2,4477,Beauty,8,2
24,Male,8344,0,3133,Clothing,4,2
29,Male,43928,2,13736,Food,5,0
29,Female,26969,0,10298,Food,5,1
31,Male,6618,1,2092,Health,6,2
38,Male,17333,1,6088,Electronics,5,1
29,Male,14792,2,5486,Electronics,5,2
32,Male,9268,2,3659,Electronics,5,2
29,Male,32178,1,11464,Books,6,3
30,Male,46104,2,14646,Food,4,0
31,Female,16475,2,5505,Clothing,6,1
36,Female,38080,0,14439,Books,4,3
31,Male,17039,0,5431,Home,5,1
33,Male,18159,1,4519,Electronics,6,1
33,Female,25791,2,8579,Clothing,5,1
34,Male,34277,0,11516,Home,5,3
27,Female,11689,1,3637,Books,5,2
37,Female,39807,0,13585,Health,4,0
28,Male,5111,2,1428,Clothing,4,2
30,Female,42542,2,10967,Food,4,0
36,Female,19323,0,8726,Electronics,6,1
36,Male,21655,1,7519,Food,4,1
25,Female,9419,0,3454,Health,5,2
26,Male,16292,1,5955,Books,6,1
24,Female,21305,0,11233,Electronics,6,1
31,Female,46326,2,17296,Food,5,0
31,Female,6952,1,2495,Electronics,5,2
32,Male,44292,0,13592,Beauty,6,0
32,Male,42736,1,16169,Clothing,4,0
27,Female,39836,1,15234,Books,5,0
26,Female,10962,2,4119,Food,4,2
35,Female,46536,1,11987,Electronics,5,0
33,Female,6816,2,1922,Electronics,5,2
23,Male,42927,2,17164,Food,6,0
30,Female,10310,1,3808,Clothing,6,2
26,Male,35084,2,11540,Books,6,3
21,Female,12974,1,4733,Health,3,2
31,Male,9851,2,3368,Clothing,6,2
30,Female,21657,2,7421,Food,5,1
30,Female,35320,1,11775,Electronics,4,3
31,Male,5130,2,1953,Electronics,3,2
34,Male,8479,1,3011,Clothing,4,2
31,Male,34379,0,12216,Beauty,5,3
27,Female,15649,1,3788,Electronics,5,2
27,Female,20603,2,5206,Clothing,5,1
29,Female,40848,0,10565,Electronics,7,0
31,Female,6618,2,3340,Home,5,2
25,Male,33236,0,10740,Clothing,6,3
29,Female,24623,2,8739,Books,4,1
34,Female,39962,1,14525,Food,5,0
30,Male,44646,1,16610,Books,3,0
27,Male,44033,0,10307,Books,4,0
29,Male,40540,2,11876,Books,6,0
35,Female,25190,2,6802,Food,7,1
32,Male,21555,2,7049,Health,6,1
36,Male,49240,1,17793,Food,5,0
31,Male,44324,2,16860,Food,3,0
32,Male,42445,2,14610,Clothing,4,0
28,Female,28891,2,10898,Electronics,4,3
33,Female,7241,2,2328,Clothing,4,2
28,Female,20208,1,6242,Clothing,4,1
24,Female,30558,2,10176,Electronics,4,3
31,Male,37145,1,13925,Electronics,4,3
39,Female,49495,0,17662,Clothing,5,0
34,Male,5031,2,1757,Clothing,4,2
35,Male,27644,0,9356,Clothing,5,3
32,Male,45482,0,20031,Books,6,0
27,Male,44697,2,14199,Electronics,4,0
29,Female,37840,1,14287,Health,5,3
29,Male,28375,2,8451,Clothing,5,3
28,Male,38152,0,11452,Food,3,3
33,Male,44947,2,16478,Food,5,0
25,Female,21735,1,5838,Books,5,1
34,Male,11312,2,3315,Clothing,5,2
34,Female,17683,2,6677,Health,5,1
25,Male,18518,0,6304,Clothing,6,1
33,Male,9405,2,3260,Health,4,2
41,Female,9837,1,3456,Beauty,6,2
28,Female,17975,2,7087,Beauty,4,1
34,Male,6411,0,2344,Food,3,2
27,Male,22415,2,7696,Clothing,5,1
35,Male,36339,0,12475,Clothing,3,3
31,Male,17583,2,6960,Electronics,5,1
37,Female,34278,0,8517,Electronics,4,3
23,Male,29604,1,8160,Electronics,5,3
30,Male,19766,1,3690,Health,4,1
28,Male,38535,2,10450,Clothing,6,3
29,Male,17411,2,5330,Beauty,6,1
27,Male,34014,1,11086,Electronics,5,3
26,Female,10950,1,4169,Electronics,5,2
33,Female,25285,0,9292,Electronics,4,1
25,Female,27835,2,8044,Electronics,6,3
37,Female,42899,2,15171,Food,4,0
25,Male,38218,0,12888,Books,4,3
30,Female,19596,2,5857,Clothing,4,1
32,Female,27843,2,10807,Clothing,5,3
33,Male,48987,2,20849,Electronics,5,0
29,Male,30942,2,11700,Clothing,6,3
30,Female,32729,1,13472,Food,5,3
34,Female,26085,2,9466,Clothing,5,1
23,Female,10874,2,2741,Beauty,4,2
27,Male,8906,0,3783,Electronics,4,2
31,Female,10743,2,4067,Food,4,2
28,Male,16787,0,6203,Books,5,1
36,Female,5863,2,1889,Clothing,4,2
33,Male,8571,2,2711,Electronics,6,2
30,Male,38221,1,9829,Health,6,3
23,Male,44824,2,12727,Food,4,0
30,Male,39617,2,13761,Health,4,0
29,Female,29554,0,7371,Electronics,5,3
30,Male,19501,2,6179,Clothing,5,1
25,Male,28006,1,11739,Electronics,5,3
32,Female,38127,1,17865,Books,4,3
25,Female,37318,1,12215,Electronics,6,3
29,Male,40497,0,14650,Electronics,5,0
32,Female,16736,1,5202,Electronics,3,1
26,Male,21992,0,8152,Electronics,5,1
33,Female,49958,2,20542,Clothing,6,0
24,Male,40354,0,14813,Books,6,0
17,Male,26406,0,9092,Electronics,5,1
32,Female,15026,2,6028,Books,6,2
34,Female,5296,1,2044,Electronics,5,2
29,Female,18211,2,5410,Clothing,4,1
32,Male,7316,0,2182,Food,3,2
25,Female,37835,2,12953,Electronics,5,3
29,Male,6698,1,2032,Clothing,6,2
21,Female,29479,2,11012,Electronics,4,3
35,Male,8968,1,3005,Books,5,2
38,Male,23475,1,7913,Food,4,1
35,Male,35255,1,13722,Home,5,3
30,Male,10845,2,4508,Clothing,4,2
30,Male,23417,2,8692,Books,5,1
23,Female,22690,0,9471,Health,7,1
34,Female,38897,0,12326,Books,6,0
29,Female,23881,1,8164,Electronics,4,1
27,Male,9232,2,2502,Electronics,4,2
24,Male,45466,0,15650,Electronics,4,0
29,Male,42806,1,13149,Electronics,4,0
26,Female,9442,2,3540,Beauty,5,2
28,Male,16972,2,6972,Electronics,4,1
25,Female,40751,2,15498,Electronics,6,0
38,Male,24023,2,8939,Health,4,1
30,Female,27743,2,10457,Home,4,3
35,Female,46817,1,14156,Electronics,6,0
18,Male,24666,2,8908,Books,4,1
28,Female,46747,2,19859,Health,5,0
27,Female,36968,2,14375,Books,3,3
25,Female,10929,1,3902,Food,4,2
37,Male,29071,1,9818,Electronics,4,3
24,Female,26988,2,9491,Clothing,4,1
31,Male,26912,0,10338,Home,4,1
34,Female,33008,2,10484,Books,5,3
31,Female,40164,2,14138,Electronics,5,0
26,Male,6402,0,2171,Beauty,4,2
34,Male,35647,2,17300,Food,5,3
31,Female,18740,2,8130,Electronics,4,1
25,Male,37252,2,11746,Books,5,3
24,Female,23527,2,7827,Food,6,1
39,Male,29034,2,6097,Clothing,6,3
27,Female,47202,1,18644,Electronics,6,0
22,Female,49260,1,15880,Books,6,0
32,Female,47225,0,17901,Electronics,5,0
31,Male,45642,2,17744,Books,6,0
24,Female,30242,2,8883,Books,4,3
21,Male,19689,0,7217,Electronics,4,1
29,Male,48086,2,16224,Clothing,6,0
35,Female,21395,2,7651,Clothing,4,1
33,Female,5885,1,2200,Electronics,5,2
28,Male,41414,0,13453,Clothing,5,0
26,Male,26575,1,7515,Electronics,5,1
31,Male,37380,2,15014,Electronics,3,3
31,Male,18703,1,6078,Books,4,1
33,Female,18219,2,5370,Clothing,4,1
28,Female,45880,2,19632,Clothing,6,0
34,Male,39896,2,10534,Clothing,5,0
26,Female,14946,2,5690,Beauty,5,2
29,Male,9086,1,3271,Health,5,2
33,Female,28585,0,8744,Clothing,6,3
34,Male,13524,2,3097,Electronics,4,2
21,Male,35382,1,12742,Electronics,5,3
30,Female,41801,0,17184,Books,7,0
33,Female,42459,0,15318,Clothing,7,0
24,Female,35390,1,10820,Electronics,4,3
32,Female,44906,2,15355,Clothing,5,0
26,Male,44099,1,14231,Food,6,0
35,Male,24660,2,9344,Food,4,1
32,Male,17486,1,6688,Electronics,4,1
